tag	Hierarchy1	mapAnnotationHierarchy	mapAnnotation
edu.stem.physics.computationalphysics	Education	Physical Sciences	Physics/Astronomy
edu.stem.physics.matter	Education	Physical Sciences	Physics/Astronomy
edu.stem.physics.particle	Education	Physical Sciences	Physics/Astronomy
edu.stem.physics.other	Education	Physical Sciences	Physics/Astronomy
edu.stem.astronomy	Education	Physical Sciences	Physics/Astronomy
edu.social.archaeology	Education	Social Sciences	History
edu.social.history	Education	Social Sciences	History
edu.social.law	Education	Social Sciences	Law
edu.social.politics	Education	Social Sciences	Political Science
edu.social.psychology	Education	Social Sciences	Psychology
edu.social.anthropology	Education	Social Sciences	Social Sciences
edu.social.sociology	Education	Social Sciences	Social Sciences
edu.education.pedagogy.teachingprinciples	Education	Teacher Training	Teaching
edu.education.pedagogy.teachingtools	Education	Teacher Training	Teaching
entertainment.comedy.improv	Entertainment	Comedy	Comedy
entertainment.comedy.parody	Entertainment	Comedy	Comedy
entertainment.comedy.sketch	Entertainment	Comedy	Comedy
entertainment.comedy.standup	Entertainment	Comedy	Comedy
entertainment.reality.competition	Entertainment	Competition	Competition
lifestyle.food	Entertainment	Food & Cooking	Food
skills.culinary.baking	Entertainment	Food & Cooking	Food
skills.culinary.cooking	Entertainment	Food & Cooking	Food
gaming.esports	Entertainment	Gaming	Gaming
gaming.gameplay	Entertainment	Gaming	Gaming
gaming.review	Entertainment	Gaming	Gaming
entertainment.drama.musical	Entertainment	Movies, TV & Drama	Movies, Theatre & Drama
entertainment.drama.shortfilm	Entertainment	Movies, TV & Drama	Movies, Theatre & Drama
entertainment.movies.clips	Entertainment	Movies, TV & Drama	Movies, Theatre & Drama
entertainment.movies.review	Entertainment	Movies, TV & Drama	Movies, Theatre & Drama
entertainment.movies.trailer	Entertainment	Movies, TV & Drama	Movies, Theatre & Drama
entertainment.music	Entertainment	Music & Performance	Music (Entertainment)
entertainment.variety.talkshow	Entertainment	Quizzes, Celebrities & Late Night	Stories/Anecdotes/Celebrity Content
entertainment.variety.latenight	Entertainment	Quizzes, Celebrities & Late Night	Stories/Anecdotes/Celebrity Content
entertainment.variety.celebritycontent	Entertainment	Quizzes, Celebrities & Late Night	Stories/Anecdotes/Celebrity Content
entertainment.sports.adventure	Entertainment	Sports & Adventure	Sports & Adventure
entertainment.sports.extremes	Entertainment	Sports & Adventure	Sports & Adventure
entertainment.sports.team	Entertainment	Sports & Adventure	Sports & Adventure
