tag	map1	map2	map3
edu.stem.math.settheory:	math	math	edu
edu.stem.math.differentialeqns:	math	math	edu
edu.stem.math.logic:	math	math	edu
edu.stem.math.other:	math	math	edu
edu.stem.environment:	environment	environment	edu
edu.stem.astronomy:	astronomy	astronomy	edu
edu.stem.neuroscience:	neurosci	neurosci	edu
entertainment.sports.adventure:	sports	sports	entertainment
entertainment.sports.extremes:	sports	sports	entertainment
entertainment.sports.team:	sports	sports	entertainment
entertainment.sports.individual:	sports	sports	entertainment
entertainment.sports.other:	sports	sports	entertainment
entertainment.variety.magic:	magic	magic	entertainment
entertainment.variety.quiz:	quizzes	quizzes	entertainment
entertainment.variety.talkshow:	talkshows	talkshows	entertainment
entertainment.variety.latenight:	talkshows	talkshows	entertainment
entertainment.variety.celebritycontent:	celebrity-content	celebritycontent	entertainment
entertainment.music:	music	music	entertainment
entertainment.reality.dating:	dating	dating	entertainment
entertainment.reality.competition:	competitions	competitions	entertainment
entertainment.reality.living:	reality-tv	realitytv	entertainment
entertainment.comedy.improv:	comedy	comedy	entertainment
entertainment.comedy.parody:	comedy	comedy	entertainment
entertainment.comedy.sketch:	comedy	comedy	entertainment
entertainment.comedy.standup:	comedy	comedy	entertainment
entertainment.drama.musical:	drama	drama	entertainment
entertainment.drama.shortfilm:	drama	drama	entertainment
entertainment.movies.clips:	movie-clips	movies	entertainment
entertainment.movies.review:	movie-reviews	movies	entertainment
entertainment.movies.trailer:	movie-trailers	movies	entertainment
gaming.esports:	gaming	gaming	gaming
gaming.gameplay:	gaming	gaming	gaming
gaming.review:	gaming	gaming	gaming
growth.careerdevelopment:	selfhelp	selfhelp	lifestyle
growth.motivational:	selfhelp	selfhelp	lifestyle
lifestyle.style.beauty:	beauty	lifestyle	lifestyle
lifestyle.style.fashion:	fashion	lifestyle	lifestyle
lifestyle.food:	food	lifestyle	lifestyle
lifestyle.home:	home	lifestyle	lifestyle
news.business:	business-news	business-news	news
news.domestic:	domestic-news	domestic-news	news
news.entertainment:	entertainment-news	entertainment-news	news
news.health:	health-news	health-news	news
news.international:	geopolitical-news	geopolitical-news	news
news.politics:	geopolitical-news	geopolitical-news	news
news.sports:	sports-news	sports-news	news
news.technology:	technology	technology	news
misc.conspiracy:	conspiracy	conspiracy	edu
misc.internet:	internet-culture	internet-culture	lifestyle
misc.lifehacks:	internet-culture	internet-culture	edu
misc.productreview:	product-reviews	product-reviews	edu
misc.unboxing:	product-reviews	product-reviews	lifestyle
religious.spirituality:	religion	religion	lifestyle
religious.community:	religion	religion	lifestyle
religious.culture:	religion	religion	lifestyle
religious.guidelines:	religion	religion	lifestyle
skills.culinary.baking:	culinary	culinary	tutorial
skills.culinary.cooking:	culinary	culinary	tutorial
skills.digital.coding:	software-tutorials	tutorial	tutorial
skills.digital.graphicdesign:	software-tutorials	tutorial	tutorial
skills.digital.videoediting:	software-tutorials	tutorial	tutorial
skills.diy.crafts:	diy	tutorial	tutorial
skills.diy.homeimprovement:	diy	tutorial	tutorial
skills.financial.personalfinance:	finance	finance	tutorial
language.internationallanguage:	languages	languages	edu
language.teachinglanguage:	teaching	teaching	edu
vlog.daily:	vlog	vlog	lifestyle
vlog.travel:	vlog	vlog	lifestyle
wellbeing.alternativemedicine:	wellbeing	wellbeing	lifestyle
wellbeing.fitness:	wellbeing	wellbeing	lifestyle
wellbeing.mentalhealth:	wellbeing	wellbeing	lifestyle
wellbeing.nutrition:	wellbeing	wellbeing	lifestyle
